rgov_t,rgov_t+1,rgov_t+2,rgov_t+3,rgov_t+4,rgov_t+5,rgov_t+6,rgov_t+7,rgov_t+8,rgov_t+9,rgov_t+10,rgov_t+11,rgov_t+12,rgov_t+13,rgov_t+14,rgov_t+15,rgov_t+16,rgov_t+17,rgov_t+18,rgov_t+19,rgov_t+20,rgdp_t,rgdp_t+1,rgdp_t+2,rgdp_t+3,rgdp_t+4,rgdp_t+5,rgdp_t+6,rgdp_t+7,rgdp_t+8,rgdp_t+9,rgdp_t+10,rgdp_t+11,rgdp_t+12,rgdp_t+13,rgdp_t+14,rgdp_t+15,rgdp_t+16,rgdp_t+17,rgdp_t+18,rgdp_t+19,rgdp_t+20,constant,news_shock_t,news_shock_t-1,rgdp_t-1,rgov_t-1,news_shock_t-2,rgdp_t-2,rgov_t-2,news_shock_t-3,rgdp_t-3,rgov_t-3,news_shock_t-4,rgdp_t-4,rgov_t-4
0.0568477,0.053719065,0.060868202,0.045789288,0.052375322,0.054055554,0.058003585,0.05105835,0.051458305,0.055190853,0.054719033,0.052740402,0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,1.049313793,1.035550385,1.034230345,1.092520856,1.089186001,1.069317841,1.036333953,1.018698416,1.023704958,1.030765177,1.017060873,0.922001853,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,1,0,0,1.037260876,0.057210668,0.001016567,1.034152161,0.051764431,0,1.031476497,0.045898105,0,1.047382406,0.048708926
0.053719065,0.060868202,0.045789288,0.052375322,0.054055554,0.058003585,0.05105835,0.051458305,0.055190853,0.054719033,0.052740402,0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,1.035550385,1.034230345,1.092520856,1.089186001,1.069317841,1.036333953,1.018698416,1.023704958,1.030765177,1.017060873,0.922001853,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,1,0,0,1.049313793,0.0568477,0,1.037260876,0.057210668,0.001016567,1.034152161,0.051764431,0,1.031476497,0.045898105
0.060868202,0.045789288,0.052375322,0.054055554,0.058003585,0.05105835,0.051458305,0.055190853,0.054719033,0.052740402,0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,1.034230345,1.092520856,1.089186001,1.069317841,1.036333953,1.018698416,1.023704958,1.030765177,1.017060873,0.922001853,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,1,0,0,1.035550385,0.053719065,0,1.049313793,0.0568477,0,1.037260876,0.057210668,0.001016567,1.034152161,0.051764431
0.045789288,0.052375322,0.054055554,0.058003585,0.05105835,0.051458305,0.055190853,0.054719033,0.052740402,0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,1.092520856,1.089186001,1.069317841,1.036333953,1.018698416,1.023704958,1.030765177,1.017060873,0.922001853,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,1,0,0,1.034230345,0.060868202,0,1.035550385,0.053719065,0,1.049313793,0.0568477,0,1.037260876,0.057210668
0.052375322,0.054055554,0.058003585,0.05105835,0.051458305,0.055190853,0.054719033,0.052740402,0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,1.089186001,1.069317841,1.036333953,1.018698416,1.023704958,1.030765177,1.017060873,0.922001853,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,1,0,0,1.092520856,0.045789288,0,1.034230345,0.060868202,0,1.035550385,0.053719065,0,1.049313793,0.0568477
0.054055554,0.058003585,0.05105835,0.051458305,0.055190853,0.054719033,0.052740402,0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,1.069317841,1.036333953,1.018698416,1.023704958,1.030765177,1.017060873,0.922001853,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,1,0,0,1.089186001,0.052375322,0,1.092520856,0.045789288,0,1.034230345,0.060868202,0,1.035550385,0.053719065
0.058003585,0.05105835,0.051458305,0.055190853,0.054719033,0.052740402,0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,1.036333953,1.018698416,1.023704958,1.030765177,1.017060873,0.922001853,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,1,0,0,1.069317841,0.054055554,0,1.089186001,0.052375322,0,1.092520856,0.045789288,0,1.034230345,0.060868202
0.05105835,0.051458305,0.055190853,0.054719033,0.052740402,0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,1.018698416,1.023704958,1.030765177,1.017060873,0.922001853,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,1,0,0,1.036333953,0.058003585,0,1.069317841,0.054055554,0,1.089186001,0.052375322,0,1.092520856,0.045789288
0.051458305,0.055190853,0.054719033,0.052740402,0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,1.023704958,1.030765177,1.017060873,0.922001853,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,1,0,0,1.018698416,0.05105835,0,1.036333953,0.058003585,0,1.069317841,0.054055554,0,1.089186001,0.052375322
0.055190853,0.054719033,0.052740402,0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,1.030765177,1.017060873,0.922001853,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,1,0,0,1.023704958,0.051458305,0,1.018698416,0.05105835,0,1.036333953,0.058003585,0,1.069317841,0.054055554
0.054719033,0.052740402,0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,1.017060873,0.922001853,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,1,0,0,1.030765177,0.055190853,0,1.023704958,0.051458305,0,1.018698416,0.05105835,0,1.036333953,0.058003585
0.052740402,0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.922001853,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,1,0,0,1.017060873,0.054719033,0,1.030765177,0.055190853,0,1.023704958,0.051458305,0,1.018698416,0.05105835
0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,1,0,0,0.922001853,0.052740402,0,1.017060873,0.054719033,0,1.030765177,0.055190853,0,1.023704958,0.051458305
