code,value
1,194179444008 
2142,138991634923 
600000,204902999556 
600015,99114139728 
600016,172928220007 
600036,785093793559 
601009,88195626568 
601166,328816094694 
601169,110482515419 
601288,1422459212461 
601328,460512581511 
601398,1851154020095 
601818,185179110170 
601939,1719723396966 
601988,1281996636251 
601998,309144261290 
