rgov_t,rgov_t+1,rgov_t+2,rgov_t+3,rgov_t+4,rgov_t+5,rgov_t+6,rgov_t+7,rgov_t+8,rgov_t+9,rgov_t+10,rgov_t+11,rgov_t+12,rgov_t+13,rgov_t+14,rgov_t+15,rgov_t+16,rgov_t+17,rgov_t+18,rgov_t+19,rgov_t+20,rgdp_t,rgdp_t+1,rgdp_t+2,rgdp_t+3,rgdp_t+4,rgdp_t+5,rgdp_t+6,rgdp_t+7,rgdp_t+8,rgdp_t+9,rgdp_t+10,rgdp_t+11,rgdp_t+12,rgdp_t+13,rgdp_t+14,rgdp_t+15,rgdp_t+16,rgdp_t+17,rgdp_t+18,rgdp_t+19,rgdp_t+20,constant_highunemp,news_shock_highunemp_t,news_shock_highunemp_t-1,rgdp_highunemp_t-1,rgov_highunemp_t-1,news_shock_highunemp_t-2,rgdp_highunemp_t-2,rgov_highunemp_t-2,news_shock_highunemp_t-3,rgdp_highunemp_t-3,rgov_highunemp_t-3,news_shock_highunemp_t-4,rgdp_highunemp_t-4,rgov_highunemp_t-4
0.051705625,0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.874846648,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,1,0,0,0.922001853,0.052740402,0,1.017060873,0.054719033,0,1.030765177,0.055190853,0,1.023704958,0.051458305
0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,1,0,0,0.874846648,0.051705625,0,0.922001853,0.052740402,0,1.017060873,0.054719033,0,1.030765177,0.055190853
0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,1,0,0,0.859878609,0.053071234,0,0.874846648,0.051705625,0,0.922001853,0.052740402,0,1.017060873,0.054719033
0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,1,0,0,0.847306157,0.055238315,0,0.859878609,0.053071234,0,0.874846648,0.051705625,0,0.922001853,0.052740402
0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,1,0,0,0.871807156,0.054429463,0,0.847306157,0.055238315,0,0.859878609,0.053071234,0,0.874846648,0.051705625
0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,1,0,0,0.909696096,0.053693287,0,0.871807156,0.054429463,0,0.847306157,0.055238315,0,0.859878609,0.053071234
0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,1,0,0,0.932251412,0.05562924,0,0.909696096,0.053693287,0,0.871807156,0.054429463,0,0.847306157,0.055238315
0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,1,0,0,0.952009856,0.054139063,0,0.932251412,0.05562924,0,0.909696096,0.053693287,0,0.871807156,0.054429463
0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1,0,0,0.985209488,0.053973708,0,0.952009856,0.054139063,0,0.932251412,0.05562924,0,0.909696096,0.053693287
0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1,0,0,1.000763695,0.053243407,0,0.985209488,0.053973708,0,0.952009856,0.054139063,0,0.932251412,0.05562924
0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1,0,0,0.951938308,0.052799512,0,1.000763695,0.053243407,0,0.985209488,0.053973708,0,0.952009856,0.054139063
0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.058928657,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1.06056531,1,0,0,0.932005884,0.051711543,0,0.951938308,0.052799512,0,1.000763695,0.053243407,0,0.985209488,0.053973708
0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.058928657,0.060619656,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1.06056531,1.059649131,1,0,0,0.905917566,0.056116067,0,0.932005884,0.051711543,0,0.951938308,0.052799512,0,1.000763695,0.053243407
0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.058928657,0.060619656,0.063233593,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1.06056531,1.059649131,1.026271341,1,0,0,0.882266644,0.054519439,0,0.905917566,0.056116067,0,0.932005884,0.051711543,0,0.951938308,0.052799512
0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.058928657,0.060619656,0.063233593,0.062206763,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1.06056531,1.059649131,1.026271341,1.021473231,1,0,0,0.9167484,0.056142229,0,0.882266644,0.054519439,0,0.905917566,0.056116067,0,0.932005884,0.051711543
0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.058928657,0.060619656,0.063233593,0.062206763,0.067016299,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1.06056531,1.059649131,1.026271341,1.021473231,1.037640779,1,0,0,0.921646347,0.056164598,0,0.9167484,0.056142229,0,0.882266644,0.054519439,0,0.905917566,0.056116067
0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.058928657,0.060619656,0.063233593,0.062206763,0.067016299,0.065272995,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1.06056531,1.059649131,1.026271341,1.021473231,1.037640779,1.034322786,1,0,0,0.949327962,0.057163579,0,0.921646347,0.056164598,0,0.9167484,0.056142229,0,0.882266644,0.054519439
0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.058928657,0.060619656,0.063233593,0.062206763,0.067016299,0.065272995,0.070318539,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1.06056531,1.059649131,1.026271341,1.021473231,1.037640779,1.034322786,1.068586946,1,0,0,0.954268192,0.053215261,0,0.949327962,0.057163579,0,0.921646347,0.056164598,0,0.9167484,0.056142229
0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.058928657,0.060619656,0.063233593,0.062206763,0.067016299,0.065272995,0.070318539,0.069229104,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1.06056531,1.059649131,1.026271341,1.021473231,1.037640779,1.034322786,1.068586946,1.085591997,1,0.011184071,0,0.946955813,0.050846422,0,0.954268192,0.053215261,0,0.949327962,0.057163579,0,0.921646347,0.056164598
0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.058928657,0.060619656,0.063233593,0.062206763,0.067016299,0.065272995,0.070318539,0.069229104,0.070745882,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1.06056531,1.059649131,1.026271341,1.021473231,1.037640779,1.034322786,1.068586946,1.085591997,1.077192306,1,-0.002731751,0.011184071,0.929529589,0.068343935,0,0.946955813,0.050846422,0,0.954268192,0.053215261,0,0.949327962,0.057163579
0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.058928657,0.060619656,0.063233593,0.062206763,0.067016299,0.065272995,0.070318539,0.069229104,0.070745882,0.068050445,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1.06056531,1.059649131,1.026271341,1.021473231,1.037640779,1.034322786,1.068586946,1.085591997,1.077192306,1.024470194,1,0,-0.002731751,0.916620728,0.074299504,0.011184071,0.929529589,0.068343935,0,0.946955813,0.050846422,0,0.954268192,0.053215261
0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.058928657,0.060619656,0.063233593,0.062206763,0.067016299,0.065272995,0.070318539,0.069229104,0.070745882,0.068050445,0.065539255,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1.06056531,1.059649131,1.026271341,1.021473231,1.037640779,1.034322786,1.068586946,1.085591997,1.077192306,1.024470194,0.994726187,1,0.005922132,0,0.921615148,0.066603988,-0.002731751,0.916620728,0.074299504,0.011184071,0.929529589,0.068343935,0,0.946955813,0.050846422
0.087070961,0.078382846,0.080181292,0.080090262,0.074586603,0.07278771,0.069605102,0.06845747,0.072561316,0.074907496,0.078019701,0.082659662,0.087436307,0.085914182,0.089026541,0.087110249,0.080879284,0.084026238,0.083957693,0.080108394,0.082246556,0.909697578,0.924764927,0.960567655,1.016711788,1.048810603,1.071916658,1.075588586,1.048502351,1.016344242,0.996347442,0.995497134,1.011359381,1.018474079,1.023185579,1.018473486,1.020904,1.027963529,1.038577265,1.055489318,1.060466923,1.054426052,1,0,0,0.925035096,0.089861986,0,1.013209086,0.077385709,0,1.101965343,0.079334601,0,1.140428392,0.074840176
0.078382846,0.080181292,0.080090262,0.074586603,0.07278771,0.069605102,0.06845747,0.072561316,0.074907496,0.078019701,0.082659662,0.087436307,0.085914182,0.089026541,0.087110249,0.080879284,0.084026238,0.083957693,0.080108394,0.082246556,0.077317011,0.924764927,0.960567655,1.016711788,1.048810603,1.071916658,1.075588586,1.048502351,1.016344242,0.996347442,0.995497134,1.011359381,1.018474079,1.023185579,1.018473486,1.020904,1.027963529,1.038577265,1.055489318,1.060466923,1.054426052,1.05146681,1,0,0,0.909697578,0.087070961,0,0.925035096,0.089861986,0,1.013209086,0.077385709,0,1.101965343,0.079334601
0.080181292,0.080090262,0.074586603,0.07278771,0.069605102,0.06845747,0.072561316,0.074907496,0.078019701,0.082659662,0.087436307,0.085914182,0.089026541,0.087110249,0.080879284,0.084026238,0.083957693,0.080108394,0.082246556,0.077317011,0.07786514,0.960567655,1.016711788,1.048810603,1.071916658,1.075588586,1.048502351,1.016344242,0.996347442,0.995497134,1.011359381,1.018474079,1.023185579,1.018473486,1.020904,1.027963529,1.038577265,1.055489318,1.060466923,1.054426052,1.05146681,1.016937461,1,0,0,0.924764927,0.078382846,0,0.909697578,0.087070961,0,0.925035096,0.089861986,0,1.013209086,0.077385709
0.080090262,0.074586603,0.07278771,0.069605102,0.06845747,0.072561316,0.074907496,0.078019701,0.082659662,0.087436307,0.085914182,0.089026541,0.087110249,0.080879284,0.084026238,0.083957693,0.080108394,0.082246556,0.077317011,0.07786514,0.081542824,1.016711788,1.048810603,1.071916658,1.075588586,1.048502351,1.016344242,0.996347442,0.995497134,1.011359381,1.018474079,1.023185579,1.018473486,1.020904,1.027963529,1.038577265,1.055489318,1.060466923,1.054426052,1.05146681,1.016937461,0.97744729,1,0,0,0.960567655,0.080181292,0,0.924764927,0.078382846,0,0.909697578,0.087070961,0,0.925035096,0.089861986
0.074586603,0.07278771,0.069605102,0.06845747,0.072561316,0.074907496,0.078019701,0.082659662,0.087436307,0.085914182,0.089026541,0.087110249,0.080879284,0.084026238,0.083957693,0.080108394,0.082246556,0.077317011,0.07786514,0.081542824,0.081485216,1.048810603,1.071916658,1.075588586,1.048502351,1.016344242,0.996347442,0.995497134,1.011359381,1.018474079,1.023185579,1.018473486,1.020904,1.027963529,1.038577265,1.055489318,1.060466923,1.054426052,1.05146681,1.016937461,0.97744729,0.958007522,1,0,0,1.016711788,0.080090262,0,0.960567655,0.080181292,0,0.924764927,0.078382846,0,0.909697578,0.087070961
0.087436307,0.085914182,0.089026541,0.087110249,0.080879284,0.084026238,0.083957693,0.080108394,0.082246556,0.077317011,0.07786514,0.081542824,0.081485216,0.082627524,0.082308104,0.087636348,0.083053152,0.075855363,0.079439466,0.081120032,0.072238703,1.018474079,1.023185579,1.018473486,1.020904,1.027963529,1.038577265,1.055489318,1.060466923,1.054426052,1.05146681,1.016937461,0.97744729,0.958007522,0.924878204,0.880829341,0.894161022,0.904461376,0.935631663,0.991625896,1.032332864,1.034109986,1,0,0,1.011359381,0.082659662,0,0.995497134,0.078019701,0,0.996347442,0.074907496,0,1.016344242,0.072561316
0.085914182,0.089026541,0.087110249,0.080879284,0.084026238,0.083957693,0.080108394,0.082246556,0.077317011,0.07786514,0.081542824,0.081485216,0.082627524,0.082308104,0.087636348,0.083053152,0.075855363,0.079439466,0.081120032,0.072238703,0.078636791,1.023185579,1.018473486,1.020904,1.027963529,1.038577265,1.055489318,1.060466923,1.054426052,1.05146681,1.016937461,0.97744729,0.958007522,0.924878204,0.880829341,0.894161022,0.904461376,0.935631663,0.991625896,1.032332864,1.034109986,1.033967854,1,0,0,1.018474079,0.087436307,0,1.011359381,0.082659662,0,0.995497134,0.078019701,0,0.996347442,0.074907496
0.089026541,0.087110249,0.080879284,0.084026238,0.083957693,0.080108394,0.082246556,0.077317011,0.07786514,0.081542824,0.081485216,0.082627524,0.082308104,0.087636348,0.083053152,0.075855363,0.079439466,0.081120032,0.072238703,0.078636791,0.070356722,1.018473486,1.020904,1.027963529,1.038577265,1.055489318,1.060466923,1.054426052,1.05146681,1.016937461,0.97744729,0.958007522,0.924878204,0.880829341,0.894161022,0.904461376,0.935631663,0.991625896,1.032332864,1.034109986,1.033967854,1.021038667,1,0,0,1.023185579,0.085914182,0,1.018474079,0.087436307,0,1.011359381,0.082659662,0,0.995497134,0.078019701
0.087110249,0.080879284,0.084026238,0.083957693,0.080108394,0.082246556,0.077317011,0.07786514,0.081542824,0.081485216,0.082627524,0.082308104,0.087636348,0.083053152,0.075855363,0.079439466,0.081120032,0.072238703,0.078636791,0.070356722,0.078377809,1.020904,1.027963529,1.038577265,1.055489318,1.060466923,1.054426052,1.05146681,1.016937461,0.97744729,0.958007522,0.924878204,0.880829341,0.894161022,0.904461376,0.935631663,0.991625896,1.032332864,1.034109986,1.033967854,1.021038667,0.972866421,1,0,0,1.018473486,0.089026541,0,1.023185579,0.085914182,0,1.018474079,0.087436307,0,1.011359381,0.082659662
0.080879284,0.084026238,0.083957693,0.080108394,0.082246556,0.077317011,0.07786514,0.081542824,0.081485216,0.082627524,0.082308104,0.087636348,0.083053152,0.075855363,0.079439466,0.081120032,0.072238703,0.078636791,0.070356722,0.078377809,0.139210865,1.027963529,1.038577265,1.055489318,1.060466923,1.054426052,1.05146681,1.016937461,0.97744729,0.958007522,0.924878204,0.880829341,0.894161022,0.904461376,0.935631663,0.991625896,1.032332864,1.034109986,1.033967854,1.021038667,0.972866421,0.982925413,1,0,0,1.020904,0.087110249,0,1.018473486,0.089026541,0,1.023185579,0.085914182,0,1.018474079,0.087436307
0.081485216,0.082627524,0.082308104,0.087636348,0.083053152,0.075855363,0.079439466,0.081120032,0.072238703,0.078636791,0.070356722,0.078377809,0.139210865,0.123306566,0.123468367,0.2103277,0.271328532,0.298289612,0.32879393,0.249165984,0.145940288,0.958007522,0.924878204,0.880829341,0.894161022,0.904461376,0.935631663,0.991625896,1.032332864,1.034109986,1.033967854,1.021038667,0.972866421,0.982925413,0.963181649,0.970025021,0.983880316,1.044097117,1.064076021,1.030111701,0.98620929,0.997113974,1,0,0,0.97744729,0.081542824,0,1.016937461,0.07786514,0,1.05146681,0.077317011,0,1.054426052,0.082246556
0.082627524,0.082308104,0.087636348,0.083053152,0.075855363,0.079439466,0.081120032,0.072238703,0.078636791,0.070356722,0.078377809,0.139210865,0.123306566,0.123468367,0.2103277,0.271328532,0.298289612,0.32879393,0.249165984,0.145940288,0.10486564,0.924878204,0.880829341,0.894161022,0.904461376,0.935631663,0.991625896,1.032332864,1.034109986,1.033967854,1.021038667,0.972866421,0.982925413,0.963181649,0.970025021,0.983880316,1.044097117,1.064076021,1.030111701,0.98620929,0.997113974,1.013845032,1,0,0,0.958007522,0.081485216,0,0.97744729,0.081542824,0,1.016937461,0.07786514,0,1.05146681,0.077317011
0.082308104,0.087636348,0.083053152,0.075855363,0.079439466,0.081120032,0.072238703,0.078636791,0.070356722,0.078377809,0.139210865,0.123306566,0.123468367,0.2103277,0.271328532,0.298289612,0.32879393,0.249165984,0.145940288,0.10486564,0.069686072,0.880829341,0.894161022,0.904461376,0.935631663,0.991625896,1.032332864,1.034109986,1.033967854,1.021038667,0.972866421,0.982925413,0.963181649,0.970025021,0.983880316,1.044097117,1.064076021,1.030111701,0.98620929,0.997113974,1.013845032,1.018210579,1,0,0,0.924878204,0.082627524,0,0.958007522,0.081485216,0,0.97744729,0.081542824,0,1.016937461,0.07786514
0.087636348,0.083053152,0.075855363,0.079439466,0.081120032,0.072238703,0.078636791,0.070356722,0.078377809,0.139210865,0.123306566,0.123468367,0.2103277,0.271328532,0.298289612,0.32879393,0.249165984,0.145940288,0.10486564,0.069686072,0.067754761,0.894161022,0.904461376,0.935631663,0.991625896,1.032332864,1.034109986,1.033967854,1.021038667,0.972866421,0.982925413,0.963181649,0.970025021,0.983880316,1.044097117,1.064076021,1.030111701,0.98620929,0.997113974,1.013845032,1.018210579,1.00938975,1,0,0,0.880829341,0.082308104,0,0.924878204,0.082627524,0,0.958007522,0.081485216,0,0.97744729,0.081542824
0.083053152,0.075855363,0.079439466,0.081120032,0.072238703,0.078636791,0.070356722,0.078377809,0.139210865,0.123306566,0.123468367,0.2103277,0.271328532,0.298289612,0.32879393,0.249165984,0.145940288,0.10486564,0.069686072,0.067754761,0.071649579,0.904461376,0.935631663,0.991625896,1.032332864,1.034109986,1.033967854,1.021038667,0.972866421,0.982925413,0.963181649,0.970025021,0.983880316,1.044097117,1.064076021,1.030111701,0.98620929,0.997113974,1.013845032,1.018210579,1.00938975,0.962342091,1,0,0,0.894161022,0.087636348,0,0.880829341,0.082308104,0,0.924878204,0.082627524,0,0.958007522,0.081485216
0.075855363,0.079439466,0.081120032,0.072238703,0.078636791,0.070356722,0.078377809,0.139210865,0.123306566,0.123468367,0.2103277,0.271328532,0.298289612,0.32879393,0.249165984,0.145940288,0.10486564,0.069686072,0.067754761,0.071649579,0.072476548,0.935631663,0.991625896,1.032332864,1.034109986,1.033967854,1.021038667,0.972866421,0.982925413,0.963181649,0.970025021,0.983880316,1.044097117,1.064076021,1.030111701,0.98620929,0.997113974,1.013845032,1.018210579,1.00938975,0.962342091,0.953197684,1,0,0,0.904461376,0.083053152,0,0.894161022,0.087636348,0,0.880829341,0.082308104,0,0.924878204,0.082627524
0.079439466,0.081120032,0.072238703,0.078636791,0.070356722,0.078377809,0.139210865,0.123306566,0.123468367,0.2103277,0.271328532,0.298289612,0.32879393,0.249165984,0.145940288,0.10486564,0.069686072,0.067754761,0.071649579,0.072476548,0.080090845,0.991625896,1.032332864,1.034109986,1.033967854,1.021038667,0.972866421,0.982925413,0.963181649,0.970025021,0.983880316,1.044097117,1.064076021,1.030111701,0.98620929,0.997113974,1.013845032,1.018210579,1.00938975,0.962342091,0.953197684,0.911001779,1,0.02289689,0,0.935631663,0.075855363,0,0.904461376,0.083053152,0,0.894161022,0.087636348,0,0.880829341,0.082308104
0.081120032,0.072238703,0.078636791,0.070356722,0.078377809,0.139210865,0.123306566,0.123468367,0.2103277,0.271328532,0.298289612,0.32879393,0.249165984,0.145940288,0.10486564,0.069686072,0.067754761,0.071649579,0.072476548,0.080090845,0.098467696,1.032332864,1.034109986,1.033967854,1.021038667,0.972866421,0.982925413,0.963181649,0.970025021,0.983880316,1.044097117,1.064076021,1.030111701,0.98620929,0.997113974,1.013845032,1.018210579,1.00938975,0.962342091,0.953197684,0.911001779,0.881851084,1,0,0.02289689,0.991625896,0.079439466,0,0.935631663,0.075855363,0,0.904461376,0.083053152,0,0.894161022,0.087636348
0.072238703,0.078636791,0.070356722,0.078377809,0.139210865,0.123306566,0.123468367,0.2103277,0.271328532,0.298289612,0.32879393,0.249165984,0.145940288,0.10486564,0.069686072,0.067754761,0.071649579,0.072476548,0.080090845,0.098467696,0.093295679,1.034109986,1.033967854,1.021038667,0.972866421,0.982925413,0.963181649,0.970025021,0.983880316,1.044097117,1.064076021,1.030111701,0.98620929,0.997113974,1.013845032,1.018210579,1.00938975,0.962342091,0.953197684,0.911001779,0.881851084,0.904553762,1,0,0,1.032332864,0.081120032,0.02289689,0.991625896,0.079439466,0,0.935631663,0.075855363,0,0.904461376,0.083053152
